Soort;Code;Naam;Omschrijving;Begindatum;Einddatum;Parent;Informatiedomein
AANBIEDINGDETAILSTATUS;AND;Andere woning geaccepteerd;Een aanbieding is geweigerd, omdat een kandidaat een andere woning heeft geaccepteerd.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;ANV;Anderen krijgen voorrang;Bij het verlenen van huisvestingsvergunningen wordt voorrang gegeven aan woningzoekenden die voldoen aan in die verordening vastgelegde sociaal-economische kenmerken. Conform Artikel 9 (WBMGP).;;;AANBIEDINGSTATUS.GEW;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;BUI;Buitenruimte bevalt niet;Een aanbieding is geweigerd, met als aangegeven reden dat de buitenruimte niet voldoet.;;;AANBIEDINGSTATUS.GEW;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;COO;Cooptatie mislukt;Een aanbieding is ingetrokken, omdat een kandidaat is afgevallen in de selectieprocedure van de zittende bewoners op basis van het recht van coöptatie.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;DOC;Documenten niet aangeleverd;Een aanbieding is ingetrokken, omdat een kandidaat de vereiste documenten niet heeft aangeleverd.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;DON;Documenten niet akkoord;Een aanbieding is ingetrokken, omdat de door een kandidaat aangeleverde documenten niet voldoen.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;GEE;Geen belangstelling meer;Een aanbieding is geweigerd, met als aangegeven reden dat de kandidaat geen belangstelling meer heeft.;;;AANBIEDINGSTATUS.GEW;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;GEG;Gegevens onjuist;Een aanbieding is ingetrokken, omdat de door een kandidaat aangeleverde gegevens niet voldoen.;;;AANBIEDINGSTATUS.ING;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;GER;Geen recht op huisvestingsvergunning;De huisvestingsvergoeding is niet verleend door een gegrond vermoeden dat het huisvesten van de personen van 16 jaar en ouder die zich in een woonruimte in dat complex, die straat of dat gebied willen huisvesten, zal leiden tot een toename van overlast of criminaliteit in dat complex, die straat of dat gebied. Conform artikel 10 (WBMGP).;;;AANBIEDINGSTATUS.GEW;Woonruimteverdeling
AANBIEDINGDETAILSTATUS;HUU;Huurprijs te hoog;Een aanbieding is geweigerd, met als aangegeven reden dat de huurprijs te hoog is.;;;AANBIEDINGSTATUS.GEW;Woonruimteverdeling
